Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Director,canonical_Agency,canonical_Source,canonical_Ounce of Prevention Description,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_Address,canonical_Head Start Fund,canonical_Column,canonical_Program Name,canonical_Program Option,canonical_Zip,canonical_Neighborhood,canonical_CC fund,canonical_Purple binder service type,canonical_Website,canonical_Column2,canonical_Eearly Head Start Fund,canonical_Phone,canonical_IDHS Provider ID,canonical_Site name,canonical_Id,canonical_Progmod,canonical_Executive Director,canonical_Center Director,canonical_Funded Enrollment,canonical_Fax,canonical_NAEYC Program Id,canonical_Length of Day,canonical_Email Address,canonical_Number per Site HS,canonical_Number per Site EHS
0,1.0,0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1 n ogden ave',b'',b'',b'state pre-kindergarten',b'near west side',b'60640',b'',b'no',b'',b'no',b'child care',b'barbara martin',b'2262649',b'',b'salvation army - temple / salvation army',b'1',b'no',b'',b'',b'salvation army',b'',b'',b'half day/full day',b'',b'',b''
0,1.0,1,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1 n ogden ave',b'',b'',b'state pre-kindergarten',b'near west side',b'60640',b'',b'no',b'',b'no',b'child care',b'barbara martin',b'2262649',b'',b'salvation army - temple / salvation army',b'1',b'no',b'',b'',b'salvation army',b'',b'',b'half day/full day',b'',b'',b''
2,1.0,2,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10 s kedzie ave',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b'',b'',b'',b'',b'5339011',b'',b'national louis university - dr. effie o. ellis training center',b'1227',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'',b''
2,1.0,3,CPS_Early_Childhood_Portal_scrape.csv, National Louis University - Dr. Effie O. Ellis Training Center,10 S Kedzie Ave ,,5339011,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10 s kedzie ave',b'',b'',b'state pre-kindergarten',b'',b'',b'',b'',b'',b'',b'',b'',b'5339011',b'',b'national louis university - dr. effie o. ellis training center',b'1227',b'',b'',b'',b'',b'',b'',b'half day/full day',b'',b'',b''
4,1.0,4,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10001 s woodlawn ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'2916100',b'',b'board trustees-city colleges of chicago - olive-harvey college',b'513',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
4,1.0,5,CPS_Early_Childhood_Portal_scrape.csv, Board Trustees-City Colleges of Chicago - Olive-Harvey College,10001 S Woodlawn Ave ,,2916100,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'10001 s woodlawn ave',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'2916100',b'',b'board trustees-city colleges of chicago - olive-harvey college',b'513',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
8,0.99998960644,6,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1001 w roosevelt rd',b'',b'',b'state pre-kindergarten',b'near west side',b'81559',b'',b'yes',b'',b'yes',b'',b'ms. adrienne hamilton',b'9395115',b'',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1161',b'yes',"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'',b'easter seals society of metropolitan chicago',b'',b'',b'half day/full day',b'',b'',b''
8,0.99998960644,7,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1001 w roosevelt rd',b'',b'',b'state pre-kindergarten',b'near west side',b'81559',b'',b'yes',b'',b'yes',b'',b'ms. adrienne hamilton',b'9395115',b'',b'easter seals society of metropolitan chicago - gilchrist-marchman',b'1161',b'yes',"b'4249it(child care it center), 7012ps(hs collaboration with c'",b'',b'easter seals society of metropolitan chicago',b'',b'',b'half day/full day',b'',b'',b''
10,1.0,8,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Uptown Head Start / Hull House,1020 W Bryn Mawr Ave ,,7695753,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1020 w bryn mawr ave',b'',b'',b'child care',b'edgewater',b'60660',b'',b'yes',b'',b'no',b'',b'martha abarca',b'7695753',b'',b'hull house association - uptown head start / hull house',b'8',b'no',b'7027ps(hs collaboration with childcare & prek)',b'',b'hull house association',b'',b'',b'extended day',b'',b'',b''
11,1.0,9,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Child Dev. Central Office- Hull House CDS-Homes,1030 W Van Buren St ,,9068600,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,b'',b'',b'cps_early_childhood_portal_scrape.csv',b'',b'',b'',b'1030 w van buren st',b'',b'',b'child care',b'',b'',b'',b'',b'',b'',b'',b'',b'9068600',b'',b'hull house association - child dev. central office- hull house cds-homes',b'478',b'',b'',b'',b'',b'',b'',b'extended day',b'',b'',b''
